borrower_id,income,employment_status,credit_score,debt_to_income_ratio,loan_amount_requested,age,education_level,marital_status,num_of_credit_inquiries,credit_history_length,loan_id,loan_type,loan_amount,interest_rate,loan_term,collateral_value,loan_to_value_ratio,repayment_schedule,current_balance,num_of_late_payments,interest_rate_change,unemployment_rate,inflation_rate,gdp_growth_rate,housing_market_index,utility_payment_history,rental_payment_history,social_media_activity_score,spending_behavior_score,fraud_score,inconsistent_application_data,geo_location_mismatch,customer_lifetime_value,cross_product_ownership,customer_satisfaction_score
1,57450.7123,Self-employed,342,0.31186389,30208.01581,69,Bachelor's,Divorced,7,6,1,Auto,4380.510427,3.038261138,284,47643.93928,0.889981101,Quarterly,46676.21564,3,0.368898097,14.41161824,9.824040088,-4.904382871,248.7397211,0.623071033,0.722975194,62.43927643,16.73728515,0.901663415,0,0,20804.02726,2,4.656848627
2,47926.03548,Retired,684,0.196757318,22258.35222,67,High School,Single,9,7,2,Auto,49794.31602,10.62791415,146,41744.82252,0.738938653,Monthly,26337.48749,4,0.245658474,9.983246568,7.335873297,2.979467709,389.6305687,0.736756345,0.531153731,15.18434456,45.24700504,0.805699185,0,0,45482.42596,1,30.5956142
3,59715.32807,Employed,734,0.300241428,9055.870925,60,Master's,Married,8,23,3,Business,15151.68853,10.97831204,243,84295.51999,0.714941379,Quarterly,26891.89116,3,-0.694222309,12.54873258,7.780397907,0.714485657,299.9934126,0.349104115,0.730591433,4.676001381,51.07829905,0.071611912,0,0,26803.32308,1,67.57708522
4,72845.44785,Retired,707,0.371848133,6712.570653,46,High School,Single,0,22,4,Auto,8314.132621,11.23205846,50,23385.04503,0.505514042,Quarterly,39035.89979,0,0.689580721,8.164711416,1.591990331,4.860985135,328.2282837,0.944397695,0.094324097,53.81056586,53.17089966,0.248913715,0,0,28742.55255,3,13.51638098
5,46487.69938,Self-employed,782,0.130495687,27788.08842,38,PhD,Married,8,10,5,Personal,12808.81664,11.33435777,302,1069.232688,0.963278558,Monthly,15734.44869,4,-0.608449777,8.446054575,7.870760328,0.894432206,385.1623161,0.709262094,0.528655832,23.4890166,81.990043,0.819071885,0,0,9635.409069,4,29.99721788
6,46487.94565,Employed,316,0.209881526,45218.23863,43,Master's,Divorced,2,11,6,Mortgage,46870.15301,1.500713164,318,65306.32977,0.801653939,Monthly,24095.37844,2,0.864564288,13.55191799,7.972510863,-4.446208659,411.0300108,0.421798819,0.291276492,30.1165537,51.73344985,0.803046127,0,0,25434.34102,3,5.616616454
7,73688.19223,Self-employed,447,0.422786196,17853.92664,31,High School,Divorced,9,25,7,Auto,26487.85093,14.37793085,58,20644.98727,0.601576969,Quarterly,48433.14566,1,-0.498857417,13.75121396,7.045954537,-4.493546736,208.6066311,0.4264648,0.972619463,24.51321648,23.07839225,0.94545055,0,0,45992.22144,1,47.49670384
8,61511.52094,Self-employed,576,0.283865948,36917.00525,26,Master's,Married,8,13,8,Mortgage,18876.08672,12.49181836,47,89066.45606,0.95980171,Quarterly,33607.43435,1,0.467761947,5.864266577,3.627186524,3.831529864,158.7175038,0.918684178,0.857117951,65.01723136,66.31287382,0.997547762,0,0,28377.18632,1,20.89206777
9,42957.88421,Unemployed,531,0.318630857,33274.40639,64,High School,Married,0,9,9,Auto,43796.18144,13.7037529,331,85975.10981,0.957465951,Monthly,7687.2516,4,-0.430689213,5.390902543,5.407210379,3.412141455,216.7178587,0.576404693,0.733275696,55.35289621,79.73141441,0.976270063,1,0,13500.70187,0,9.12480269
10,58138.40065,Employed,665,0.273126401,46646.1908,29,Bachelor's,Divorced,0,7,10,Auto,20354.52326,1.711184487,106,8134.373507,0.994592082,Quarterly,6661.337399,2,-0.364429183,8.954822086,1.993909342,-1.541099244,303.01533,0.70637921,0.933747635,7.797442352,31.93716664,0.410137986,0,0,2527.862343,0,41.12158095
11,43048.73461,Unemployed,527,0.117559977,41228.06985,59,High School,Divorced,8,9,11,Personal,17415.41993,14.10709374,24,11085.64634,0.937028282,Quarterly,10213.23792,1,-0.379996294,13.80332433,5.244283598,1.180324842,236.8565269,0.417035225,0.346843305,52.65265332,64.5305929,0.250328444,0,0,17478.7869,1,35.12254044
12,43014.0537,Employed,735,0.166299912,28763.65769,68,Master's,Single,5,13,12,Business,11156.8436,12.43214514,157,49769.57343,0.998892194,Annually,38335.58372,4,0.495784508,6.868261121,3.194414673,-0.104086429,327.3451035,0.223692765,0.900879899,79.11897656,14.69379959,0.75841019,0,0,29056.95479,2,53.75177369
13,53629.43407,Self-employed,698,0.278216655,33194.49441,73,PhD,Divorced,3,26,13,Mortgage,19512.04437,12.80245843,76,61117.65495,0.622343094,Annually,14768.85019,3,0.113630236,10.82417538,4.141872878,4.671640551,121.3862897,0.723559292,0.325238232,8.119459082,34.19263046,0.299272893,0,0,3088.05113,3,74.90386553
14,21300.79633,Self-employed,510,0.183674186,45020.93686,68,PhD,Married,6,3,14,Business,16517.53344,2.759379694,239,27853.37958,0.921124793,Annually,1069.442334,0,0.765904912,11.49782025,2.463403676,4.499609009,303.9001646,0.607823772,0.73279672,88.97389762,90.92239295,0.80640036,0,1,30879.83629,1,11.25687364
15,24126.23251,Retired,690,0.119991611,20576.42044,23,PhD,Single,4,3,15,Personal,34187.89401,11.47350339,253,71821.37281,0.911514154,Annually,47208.71818,2,-0.385254562,12.34409598,3.07048931,4.838390085,247.1939628,0.50134288,0.736416912,57.83066494,91.13081632,0.53395473,0,0,26647.27753,1,79.11255902
