borrower_id,income,employment_status,credit_score,debt_to_income_ratio,loan_amount_requested,age,education_level,marital_status,num_of_credit_inquiries,credit_history_length,loan_id,loan_type,loan_amount,interest_rate,loan_term,collateral_value,loan_to_value_ratio,repayment_schedule,current_balance,num_of_late_payments,loan_default
1,57450.7123,Self-employed,342,0.31186389,30208.01581,69,Bachelor's,Divorced,7,6,1,Auto,4380.510427,3.038261138,284,47643.93928,0.889981101,Quarterly,46676.21564,3,0
2,47926.03548,Retired,684,0.196757318,22258.35222,67,High School,Single,9,7,2,Auto,49794.31602,10.62791415,146,41744.82252,0.738938653,Monthly,26337.48749,4,0
3,59715.32807,Employed,734,0.300241428,9055.870925,60,Master's,Married,8,23,3,Business,15151.68853,10.97831204,243,84295.51999,0.714941379,Quarterly,26891.89116,3,0
4,72845.44785,Retired,707,0.371848133,6712.570653,46,High School,Single,0,22,4,Auto,8314.132621,11.23205846,50,23385.04503,0.505514042,Quarterly,39035.89979,0,0
5,46487.69938,Self-employed,782,0.130495687,27788.08842,38,PhD,Married,8,10,5,Personal,12808.81664,11.33435777,302,1069.232688,0.963278558,Monthly,15734.44869,4,0
6,46487.94565,Employed,316,0.209881526,45218.23863,43,Master's,Divorced,2,11,6,Mortgage,46870.15301,1.500713164,318,65306.32977,0.801653939,Monthly,24095.37844,2,0
7,73688.19223,Self-employed,447,0.422786196,17853.92664,31,High School,Divorced,9,25,7,Auto,26487.85093,14.37793085,58,20644.98727,0.601576969,Quarterly,48433.14566,1,1
8,61511.52094,Self-employed,576,0.283865948,36917.00525,26,Master's,Married,8,13,8,Mortgage,18876.08672,12.49181836,47,89066.45606,0.95980171,Quarterly,33607.43435,1,0
9,42957.88421,Unemployed,531,0.318630857,33274.40639,64,High School,Married,0,9,9,Auto,43796.18144,13.7037529,331,85975.10981,0.957465951,Monthly,7687.2516,4,0
10,58138.40065,Employed,665,0.273126401,46646.1908,29,Bachelor's,Divorced,0,7,10,Auto,20354.52326,1.711184487,106,8134.373507,0.994592082,Quarterly,6661.337399,2,0
11,43048.73461,Unemployed,527,0.117559977,41228.06985,59,High School,Divorced,8,9,11,Personal,17415.41993,14.10709374,24,11085.64634,0.937028282,Quarterly,10213.23792,1,1
12,43014.0537,Employed,735,0.166299912,28763.65769,68,Master's,Single,5,13,12,Business,11156.8436,12.43214514,157,49769.57343,0.998892194,Annually,38335.58372,4,0
13,53629.43407,Self-employed,698,0.278216655,33194.49441,73,PhD,Divorced,3,26,13,Mortgage,19512.04437,12.80245843,76,61117.65495,0.622343094,Annually,14768.85019,3,0
14,21300.79633,Self-employed,510,0.183674186,45020.93686,68,PhD,Married,6,3,14,Business,16517.53344,2.759379694,239,27853.37958,0.921124793,Annually,1069.442334,0,0
15,24126.23251,Retired,690,0.119991611,20576.42044,23,PhD,Single,4,3,15,Personal,34187.89401,11.47350339,253,71821.37281,0.911514154,Annually,47208.71818,2,0
16,41565.68706,Employed,798,0.437459866,17012.94059,37,High School,Married,9,1,16,Personal,15189.55253,14.45887531,19,59694.14408,0.61547018,Annually,8485.67082,1,0
17,34807.53319,Unemployed,839,0.492477012,1529.743098,41,Bachelor's,Widowed,6,21,17,Mortgage,29282.78757,10.66038911,315,32819.99892,0.549218775,Quarterly,477.9093074,0,0
18,54713.70999,Retired,790,0.41725715,41501.00264,44,High School,Single,7,20,18,Business,4228.716087,9.202578962,352,3024.46306,0.989710257,Quarterly,11856.58012,4,0
19,36379.63887,Retired,741,0.441513969,40248.05432,55,PhD,Married,7,2,19,Personal,10373.16868,14.26600065,54,75139.95299,0.648012276,Annually,11751.43936,1,0
20,28815.44448,Retired,560,0.196790852,6118.271387,25,Master's,Divorced,0,25,20,Auto,20962.85831,7.479651143,255,21867.98975,0.935445895,Monthly,21100.26254,0,0
21,71984.73153,Unemployed,649,0.48425079,29266.01168,18,PhD,Widowed,7,3,21,Auto,46910.51344,9.590463145,192,83530.13747,0.502063577,Annually,46019.49158,3,0
22,46613.35549,Retired,651,0.178770282,23735.10321,71,Master's,Married,5,15,22,Auto,19485.3473,7.930566962,96,42318.88088,0.510512404,Monthly,43959.24589,2,0
23,51012.92307,Unemployed,819,0.480571924,6816.74568,66,Bachelor's,Single,3,24,23,Business,33539.63194,14.09342399,166,57919.20554,0.732935654,Quarterly,22844.72775,4,0
24,28628.77721,Retired,619,0.497927718,49047.84313,66,Master's,Married,7,6,24,Auto,13499.2739,2.527143811,286,87358.39868,0.619357342,Monthly,20544.99525,1,0
25,41834.25913,Unemployed,437,0.384689122,11520.09849,41,High School,Widowed,2,13,25,Auto,7224.645223,8.265115961,34,86430.48859,0.844920642,Quarterly,27750.45432,3,0
26,51663.83885,Self-employed,849,0.492457493,4294.474824,64,High School,Single,3,21,26,Personal,3868.293404,10.77385796,126,37466.19774,0.782782163,Monthly,12172.7006,2,0
27,32735.09634,Self-employed,667,0.327815912,30147.5216,24,High School,Widowed,5,1,27,Personal,15965.26143,12.19073827,317,21284.44483,0.538742899,Quarterly,2609.249598,2,0
28,55635.47028,Self-employed,519,0.203816713,37204.46718,36,Master's,Married,6,20,28,Auto,8725.390313,9.37075174,310,77627.03473,0.581314148,Quarterly,46961.20681,3,0
29,40990.41965,Self-employed,636,0.274798354,2589.728856,39,High School,Divorced,3,19,29,Auto,9526.511953,13.77038955,110,43591.48026,0.694024635,Annually,9334.949244,1,0
30,45624.59375,Self-employed,522,0.337424374,33277.1643,74,High School,Divorced,3,1,30,Personal,38277.20611,14.21688453,115,19608.17836,0.592802032,Quarterly,9920.036462,2,1
31,40974.40082,Retired,659,0.129232625,27082.30192,72,High School,Married,6,28,31,Mortgage,1776.065476,2.368309513,62,90490.32156,0.896111174,Annually,23623.01644,4,0
32,77784.17277,Retired,628,0.348937306,6059.985435,52,Bachelor's,Married,5,21,32,Business,28332.69616,6.932002284,123,20211.36733,0.708035118,Annually,24580.66724,0,0
33,49797.54163,Retired,762,0.492471135,9453.66997,47,Master's,Married,7,22,33,Business,19593.60765,1.816696793,255,3067.813235,0.546715933,Annually,921.710485,4,1
34,34134.33607,Unemployed,681,0.17604306,28830.74057,46,Master's,Single,0,2,34,Personal,25820.95,5.947124875,180,2517.85739,0.742171451,Monthly,7397.736939,2,0
35,62338.17368,Unemployed,468,0.417038047,15521.52306,39,PhD,Widowed,9,15,35,Business,28578.68162,8.747720943,83,62420.37797,0.545419091,Monthly,18907.74093,0,0
36,31687.34525,Unemployed,516,0.463159518,46977.4707,28,Master's,Widowed,6,14,36,Personal,16355.01703,13.79573156,150,66336.66854,0.564468653,Quarterly,34186.53468,3,1
37,53132.95393,Unemployed,677,0.477480637,41118.27124,37,Bachelor's,Widowed,6,19,37,Personal,15460.33415,12.92848335,347,31448.64965,0.619804916,Annually,11420.92284,0,0
