Customer_ID,Age,Gender,Income_Level,Occupation,Marital_Status,Education_Level,Location,Policy_Type,Coverage_Amount,Premium_Amount,Policy_Tenure_Years,Claim_History,Payment_Preferences,Customer_Support_Tickets,Marketing_Engagement,Customer_Feedback,Risk_Appetite,Renewal_Behavior
1001,37,Male,Low,Business Owner,Married,Master,Urban,Health,72282,1305,2,No,Monthly,0,High,Negative,Low,Late
1002,58,Male,High,Teacher,Divorced,Master,Suburban,Health,56940,831,10,No,Monthly,1,Medium,Neutral,High,On Time
1003,48,Male,High,Engineer,Single,High School,Urban,Home,41372,989,5,Yes,Annually,0,Medium,Positive,High,Late
1004,57,Female,Low,Artist,Married,Bachelor,Rural,Life,15415,1164,6,Yes,Monthly,2,High,Positive,Medium,Early
1005,40,Male,Medium,Engineer,Married,Master,Urban,Life,16484,475,9,No,Monthly,2,High,Neutral,Medium,On Time
1006,51,Female,High,Lawyer,Divorced,PhD,Urban,Travel,14886,211,6,Yes,Monthly,3,High,Positive,Low,On Time
1007,21,Male,Medium,Artist,Divorced,Master,Suburban,Auto,45993,103,7,No,Annually,3,Medium,Positive,Low,Early
1008,41,Male,High,Lawyer,Widowed,Bachelor,Urban,Life,72310,199,5,Yes,Monthly,2,High,Positive,Low,On Time
1009,18,Female,Low,Artist,Divorced,PhD,Suburban,Health,19078,1547,9,Yes,Monthly,4,Low,Positive,Medium,Late
1010,37,Female,Medium,Business Owner,Single,High School,Rural,Auto,60107,107,9,Yes,Annually,0,Medium,Negative,High,Late
1011,29,Female,Medium,Lawyer,Single,PhD,Rural,Life,57757,193,8,No,Annually,3,Medium,Neutral,Low,On Time
1012,61,Female,Low,Business Owner,Divorced,High School,Suburban,Auto,48045,1518,5,Yes,Monthly,3,Low,Negative,Medium,On Time
1013,23,Male,Medium,Business Owner,Widowed,Bachelor,Urban,Health,67388,377,9,No,Monthly,2,Low,Negative,Medium,On Time
1014,18,Female,Low,Doctor,Divorced,PhD,Suburban,Health,10790,229,6,Yes,Annually,5,Medium,Positive,Low,Early
1015,34,Female,Medium,Teacher,Widowed,PhD,Suburban,Life,36378,601,9,Yes,Monthly,0,Low,Negative,High,Late
1016,63,Male,Medium,Artist,Widowed,PhD,Suburban,Life,5351,464,8,Yes,Annually,4,High,Negative,Low,Late
1017,37,Female,Low,Teacher,Divorced,PhD,Rural,Auto,31557,615,1,No,Monthly,4,High,Neutral,Medium,Early
1018,47,Female,Medium,Engineer,Divorced,Bachelor,Suburban,Life,49227,359,2,No,Annually,0,Medium,Negative,Medium,Early
1019,34,Male,High,Business Owner,Widowed,High School,Suburban,Travel,85354,1688,8,Yes,Monthly,4,Medium,Neutral,Medium,On Time
1020,64,Female,Medium,Teacher,Widowed,Master,Rural,Life,78922,1152,5,Yes,Monthly,5,High,Positive,High,Early
1021,54,Female,Medium,Teacher,Married,High School,Rural,Travel,95798,1997,4,Yes,Annually,2,Low,Neutral,Low,On Time
1022,65,Male,Medium,Lawyer,Divorced,High School,Urban,Home,62362,278,2,Yes,Annually,1,Low,Neutral,Low,On Time
1023,51,Female,Medium,Business Owner,Single,Master,Suburban,Auto,69479,459,1,No,Monthly,4,Low,Positive,Medium,Late
1024,64,Male,High,Engineer,Single,High School,Suburban,Home,68853,303,5,Yes,Monthly,5,High,Positive,High,Late
1025,42,Female,High,Lawyer,Married,PhD,Suburban,Travel,69258,1800,2,Yes,Annually,1,Medium,Negative,Low,On Time
1026,57,Male,Low,Business Owner,Single,PhD,Suburban,Health,18818,1479,6,No,Monthly,2,High,Negative,High,On Time
1027,58,Male,Medium,Artist,Widowed,Master,Rural,Health,98866,508,5,No,Monthly,1,High,Neutral,Medium,Early
1028,27,Male,Medium,Lawyer,Divorced,PhD,Rural,Auto,87508,306,9,No,Annually,1,Low,Neutral,Low,Late
1029,27,Female,Medium,Doctor,Single,PhD,Rural,Home,76207,1666,5,No,Annually,2,High,Neutral,High,On Time
1030,25,Male,High,Lawyer,Married,PhD,Rural,Home,48253,1787,1,No,Monthly,5,High,Neutral,Low,On Time
1031,31,Female,Low,Lawyer,Married,High School,Suburban,Auto,37707,1323,6,No,Monthly,0,Low,Neutral,Medium,On Time
1032,22,Female,Medium,Engineer,Divorced,Bachelor,Suburban,Health,71655,1431,4,Yes,Monthly,3,Medium,Positive,Medium,Early
1033,67,Female,Medium,Teacher,Single,PhD,Rural,Travel,99383,284,1,No,Annually,1,Low,Neutral,Medium,Late
1034,38,Male,High,Engineer,Widowed,High School,Urban,Life,36735,967,5,Yes,Annually,2,Low,Negative,Low,Late
1035,48,Female,High,Teacher,Widowed,Bachelor,Urban,Home,38199,1407,2,No,Annually,2,High,Negative,High,Early
1036,19,Male,Low,Teacher,Widowed,Master,Rural,Life,99904,1603,8,No,Monthly,0,High,Negative,High,Early
1037,33,Female,High,Business Owner,Divorced,High School,Suburban,Life,74012,1257,2,Yes,Monthly,4,Low,Neutral,Medium,On Time
1038,58,Female,Low,Lawyer,Widowed,Bachelor,Urban,Travel,26810,1340,4,No,Annually,2,Low,Neutral,High,On Time
1039,34,Female,Low,Engineer,Widowed,Master,Suburban,Home,25634,584,8,Yes,Annually,0,High,Negative,High,Late
1040,26,Female,Medium,Engineer,Divorced,Master,Rural,Auto,7445,897,10,Yes,Annually,1,Medium,Negative,Low,Early
1041,61,Female,Medium,Lawyer,Divorced,Master,Urban,Travel,52743,478,10,Yes,Annually,4,Medium,Negative,Low,Late
1042,61,Female,High,Business Owner,Married,High School,Rural,Travel,68498,1594,8,Yes,Monthly,2,Medium,Negative,Low,Early
1043,47,Male,High,Artist,Widowed,Master,Suburban,Life,59737,1061,7,Yes,Annually,1,Low,Positive,Low,Late
1044,53,Male,High,Doctor,Married,Master,Urban,Home,97762,1789,2,Yes,Annually,2,Low,Negative,Medium,On Time
